Percentage Data,Member Accuracy,Non-member Accuracy,Attack Accuracy,Attack Model
10,0.8225308641975309,0.5200617283950617,0.6712962962962963,GB
20,0.7808641975308642,0.5709876543209876,0.6759259259259259,GB
30,0.7762345679012346,0.5725308641975309,0.6743827160493827,GB
40,0.7762345679012346,0.5895061728395061,0.6828703703703703,GB
50,0.7808641975308642,0.5709876543209876,0.6759259259259259,GB
60,0.7608024691358025,0.6003086419753086,0.6805555555555556,GB
70,0.7175925925925926,0.6666666666666667,0.6921296296296297,GB
80,0.7145061728395061,0.6697530864197531,0.6921296296296297,GB
90,0.6990740740740741,0.6774691358024691,0.6882716049382716,GB
